Blog,Recipe,Link,Time,Ingredients
Oh sweet basil,Honey Baked Ham,https://ohsweetbasil.com/honey-baked-ham-recipe/,2 hours 25 minutes,"['ham', 'butter', 'honey', 'dijon mustard', 'apple butter', 'cinnamon', 'apple juice', 'sugar', 'brown sugar', 'salt', 'cinnamon', 'cloves', 'onion powder', 'ginger', 'allspice', 'smoked paprika', 'kitchen torch']"
Oh sweet basil,Orange Sweet Rolls,https://ohsweetbasil.com/sweet-zesty-orange-rolls-recipe/,2 hours 45 minutes,"['whole milk', 'yeast', 'sugar', 'butter', 'salt', 'egg', 'flour', 'powdered sugar', 'butter', 'orange zest', 'orange juice', 'vanilla']"
Oh sweet basil,Creamy Sun Dried Tomato Gnocchi,https://ohsweetbasil.com/creamy-sun-dried-tomato-and-spinach-gnocchi-recipe/,15 minutes,"['olive oil', 'leek', 'garlic', 'cherry tomatoes', 'sun dried tomatoes', 'white wine', 'butter', 'gnocchi', 'parmesan cheese', 'spinach', 'heavy cream', 'basil', 'salt and pepper']"
Oh sweet basil,Strawberry Pretzel Jello Salad,https://ohsweetbasil.com/strawberry-pretzel-jello-salad-recipe/,25 minutes,"['pretzels', 'butter', 'brown sugar', 'sugar', 'jello', 'water', 'strawberries', 'sugar', 'cream cheese', 'cool whip']"
Oh sweet basil,Creamy Garlic Parmesan Orzo,https://ohsweetbasil.com/creamy-garlic-parmesan-orzo/,14 minutes,"[' orzo pasta', 'olive oil', 'butter', 'garlic', 'chicken broth', 'half and half', 'fresh thyme leaves', 'grated parmesan cheese', 'freshly cracked black pepper', 'salt']"
Oh sweet basil,Peanut Butter Banana Cream Pie,https://ohsweetbasil.com/peanut-butter-banana-cream-pie-recipe/,20 minutes,"['instant pudding ', 'milk', 'neufchatel cheese', 'peanut butter', 'milk', 'cool whip', 'bananas', 'graham cracker pie crust']"
Oh sweet basil,Slow Cooker Corned Beef And Cabbage,https://ohsweetbasil.com/slow-cooker-corned-beef-and-cabbage/,8 hours 10 minutes,"['brisket', 'onion', 'garlic', 'bay leaves', 'broth', 'vinegar', 'sugar', 'potatoes', 'carrots', 'cabbage']"
Oh sweet basil,Kid Friendly Dinner- One Pot Taco Spaghetti,https://ohsweetbasil.com/one-pot-cheesy-ground-beef-taco-spaghetti/,25 minutes,"['ground beef', 'garlic', 'taco seasoning', 'water', ' diced tomatoes with green chilies', 'tomato paste', 'spaghetti', 'water', 'salsa con queso dip', 'colby jack cheese', 'mozzarella cheese', 'tomato', 'green onions', 'can sliced olives', 'cilantro']"
Oh sweet basil,Shepherd's Pie,https://ohsweetbasil.com/classic-shepherds-pie-recipe/,40 minutes,"['oil', 'ground beef', 'garlic', 'onions', 'carrots', 'celery', 'salt', 'paprika', 'black pepper', 'flour', 'tomato paste', 'beef broth', 'worcestershire sauce', 'peas', 'parsley', 'thyme', 'rosemary', 'mashed potatoes', 'cheese']"
Oh sweet basil,Italian Wedding Soup,https://ohsweetbasil.com/italian-wedding-soup-recipe/,32 minutes,"['turkey', 'italian sausage', ' bread crumbs', 'parmesan', 'italian seasoning', 'garlic', 'egg', 'kosher salt', 'black pepper', 'olive oil', 'yellow onion', 'carrots', 'celery', 'thyme', 'chicken broth', 'acini di pepe', 'baby spinach', 'dill', 'parmesan']"
Oh sweet basil,Enchilada Style Ground Beef Burritos,https://ohsweetbasil.com/enchilada-style-ground-beef-burritos-recipe/,30 minutes,"['ground beef', 'taco seasoning', 'better than beef bouillon', 'dr pepper', 'water', 'butter', 'flour', 'beef stock', 'red enchilada sauce', 'chili powder', 'tortillas', 'mexican cheese blend']"
Oh sweet basil,March Madness Snack Mix,https://ohsweetbasil.com/march-madness-snack-mix/,15 minutes,"['popcorn', 'corn chex', 'sesame sticks', 'cheese filled pretzels', 'butter', 'worcestershire sauce', 'garlic powder', 'mustard powder', 'sugar', 'smoked paprika', 'salt', 'cheese balls', 'salted peanuts']"
Oh sweet basil,Slow Cooker Chicken Stew,https://ohsweetbasil.com/slow-cooker-chicken-stew-recipe/,5 hours 40 minutes,"['chicken thighs', 'canola oil', 'butter', 'onion', 'flour', 'garlic', 'celery', 'tomato paste', 'thyme', 'sage', 'chicken broth', 'cooking white wine', 'red potatoes', 'potatoes', 'carrots', 'bay leaves', 'peas', 'heavy cream', 'parsley']"
Oh sweet basil,Parmesan Meatball Soup,https://ohsweetbasil.com/parmesan-meatball-soup-recipe/,32 minutes,"['frozen meatballs halved', 'fresh bread crumbs', 'milk', 'ground beef', '\xa0italian sausage ', 'egg', 'yellow onion', 'garlic', 'fresh parmesan', 'fresh italian parsley', 'worcestershire sauce', 'dried basil', 'dried oregano', 'crushed red pepper flakes', 'kosher salt', 'black pepper', 'olive oil', 'onion', 'carrot', 'celery', 'garlic', 'tomato paste', 'crushed tomatoes', 'beef broth', 'milk', 'mozzarella', 'parmesan ', 'italian seasoning', 'lemon', 'kosher salt', 'black pepper', 'parsley', 'bread bowls']"
Oh sweet basil,Healthy Pink Pitaya Blender Pancakes,https://ohsweetbasil.com/healthy-pink-pitaya-blender-pancakes-recipe/,15 minutes,"['oats', 'baking powder', 'baking soda', 'salt', 'pitaya powder', 'eggs', 'banana', 'milk', 'swerve sweetener', 'cottage cheese']"
Oh sweet basil,Chocolate Lovers Granola With Strawberries,https://ohsweetbasil.com/chocolate-lovers-granola-with-strawberries-recipe/,41 minutes,"['coconut oil', ' maple syrup', 'brown sugar', 'honey', 'cocoa', 'vanilla', 'rolled oats', 'salt', 'cinnamon', 'almonds', 'pepitas', 'egg white', 'strawberries', 'chocolate chunks']"
Oh sweet basil,Creamy Chicken Stroganoff,https://ohsweetbasil.com/creamy-chicken-stroganoff/,32 minutes,"['chicken breasts', 'olive oil', 'garlic powder', 'paprika', 'flour', 'onion', 'mushrooms', 'butter', 'dijon mustard', '\xa0worcestershire sauce', '\xa0parsley flakes', 'thyme', 'garlic', 'chicken broth', 'sour cream', 'mashed potatoes']"
Oh sweet basil,Better Than Steakhouse Onion Soup,https://ohsweetbasil.com/better-than-a-steakhouse-french-onion-soup/,1 day 4 hours 5 minutes,"['butter', 'salt', 'garlic', 'brown sugar', 'onions', 'water', 'beef broth', 'chicken broth', 'worcestershire sauce', 'thyme', 'bay leaf', 'gruyere cheese', 'parmesan cheese', 'baguette']"
Oh sweet basil,Easy Hoagie Rolls,https://ohsweetbasil.com/easy-hoagie-rolls-recipe/,4 hours 36 minutes,"['warm water', 'instant yeast', 'granulated sugar', 'honey', 'all-purpose flour', 'salt', 'unsalted butter', 'egg white', 'milk']"
Oh sweet basil,Cheeseburger Sliders,https://ohsweetbasil.com/cheeseburger-sliders-recipe/,40 minutes,"['ground beef', 'salt', 'pepper', 'cumin', 'ground mustard', 'onion powder', 'garlic powder', 'smoked paprika', 'onion', 'garlic', 'diced tomatoes', 'cheddar cheese', 'dinner rolls', 'butter', 'mayonnaise', 'brown sugar', 'yellow mustard', 'sesame seeds']"
Oh sweet basil,Instant Pot Buffalo Chicken Dip,https://ohsweetbasil.com/instant-pot-buffalo-chicken-dip-recipe/,25 minutes,"['chicken', 'buffalo sauce', 'butter', 'water', 'ranch dressing', 'cream cheese', 'cheddar cheese']"
Oh sweet basil,Perfectly Moist Skillet Cornbread,https://ohsweetbasil.com/perfectly-moist-skillet-cornbread-recipe/,55 minutes,"['butter', 'honey', 'maple syrup', 'sugar', 'buttermilk', 'eggs', 'cornmeal', 'flour', 'baking powder', 'salt', 'baking soda']"
Oh sweet basil,Best Chili Recipe,https://ohsweetbasil.com/best-chili-recipe/,1 hour,"['ground beef', 'bacon', 'kidney beans', 'pinto beans', 'black beans', ' tomatoes', 'tomato paste', 'red onion', 'red bell pepper', 'jalapeno', 'beef stock', 'oregano', 'cumin', 'cocoa powder', 'kosher salt', 'black pepper', 'smoked paprika', 'ground coriander', 'chili powder', 'worcestershire sauce', 'garlic', 'sour cream', 'cilantro', 'cheese']"
Oh sweet basil,Dad's Oatmeal Raisin Chocolate Chip Cookies,https://ohsweetbasil.com/dads-oatmeal-raisin-chocolate-chip-cookies-recipe/,1 hour 18 minutes,"['raisins', 'baking soda', 'butter', 'brown sugar', 'sugar', 'egg', 'vanilla', 'flour', 'oat flour', 'baking soda', 'cornstarch', 'cinnamon', 'nutmeg', 'cloves', 'oats', 'chocolate chips', 'sea salt']"
Oh sweet basil,Baguette,https://ohsweetbasil.com/homemade-baguette-recipe/,16 hours 50 minutes,"['bread flour', 'water', 'instant yeast', 'bread flour', 'all-purpose flour', 'water', 'instant yeast', 'kosher salt']"
