Blog,Recipe,Link,Time,Ingredients
Pinch of Yum,Harissa Meatballs with Whipped Feta,https://pinchofyum.com/harissa-meatballs-with-whipped-feta,45 minutes,"['store-bought frozen meatballs', 'bell peppers', 'zucchini', 'harissa paste', 'olive oil, garlic powder, lemon juice, salt', 'feta cheese', 'cream cheese', 'sour cream', 'plain yogurt', 'garlic']"
Pinch of Yum,House Favorite Brussels Sprouts,https://pinchofyum.com/house-favorite-brussels-sprouts,25 minutes,"['brussels sprouts', 'olive oil', 'salt', 'pepper', 'walnuts', 'dried cranberries', 'dijon mustard', 'maple syrup']"
Pinch of Yum,Instant Pot Chicken and Dumplings,https://pinchofyum.com/instant-pot-chicken-and-dumplings,30 minutes,"['olive oil', 'mirepoix', 'garlic', 'russet potato', 'chicken thighs', 'poultry seasoning', 'salt', 'pepper', 'chicken broth', 'refrigerated biscuits', 'frozen peas', 'fresh thyme', 'rosemary sprigs', 'fresh parsley']"
Pinch of Yum,Sheet Pan Shrimp and Cauli Rice,https://pinchofyum.com/sheet-pan-shrimp-and-cauli-rice,30 minutes,"['season’s choice', 'garlic herb riced cauliflower', 'prianno', 'rosso pesto sauce', 'fremont fish market jumbo ez peel raw shrimp', 'simply nature organic frozen sweet peas', 'garlic powder', 'butter', 'heavy cream', 'salt and pepper', 'fresh lemon juice']"
Pinch of Yum,BBQ Jackfruit Sandwiches,https://pinchofyum.com/bbq-jackfruit-sandwiches,25 minutes,"['bbq jackfruit', 'olive oil', 'young jackfruit in brine', 'chickpeas', 'garlic', 'brown sugar', 'paprika', 'chili powder', 'onion powder', 'salt', 'barbecue sauce', 'slaw', 'slaw bag mix', 'the rest:', 'buns']"
Pinch of Yum,Crispy Black Bean Tacos with Cilantro Lime Sauce,https://pinchofyum.com/crispy-black-bean-tacos-with-cilantro-lime-sauce,25 minutes,"['crispy black bean tacos', 'black beans', 'salsa', 'taco seasoning', 'flour tortillas', 'olive oil', 'butter', 'cilantro lime sauce:']"
Pinch of Yum,Pineapple Pork with Coconut Rice,https://pinchofyum.com/pineapple-pork-with-coconut-rice,30 minutes,"['teriyaki sauce', 'pork tenderloin', 'fresh pineapple chunks', 'olive oil', 'full fat coconut milk', 'water', 'jasmine rice']"
Pinch of Yum,Spicy Peanut Soba Noodle Salad,https://pinchofyum.com/spicy-peanut-soba-noodle-salad,25 minutes,"['for the spicy peanut sauce:', 'peanut butter', 'water', 'soy sauce,', 'sesame oil', 'honey', 'lime', 'garlic', 'sriracha', 'peanuts', 'for the salad:', 'chicken breast', 'red\xa0bell pepper', 'purple cabbage', 'soba noodles', 'cilantro', 'basil', 'peanuts']"
Pinch of Yum,Easy Crockpot Carnitas,https://pinchofyum.com/easy-crockpot-carnitas,8 hours 10 minutes,"['pork shoulder', 'garlic', 'salt', 'cumin', 'chili powder', 'black pepper', 'oregano', 'cinnamon', 'cayenne pepper', 'chipotle hot sauce', 'limes', 'orange juice', 'beer', 'salsa']"
Pinch of Yum,Quick Homemade Ramen,https://pinchofyum.com/quick-homemade-ramen,25 minutes,"['sesame oil', 'ginger', 'garlic', 'broth', 'water', 'dried shiitake mushrooms', 'instant ramen', 'scallions or chives', 'kale', 'carrots', 'sriracha', 'panko crumbs']"
Pinch of Yum,Shrimp and Avocado Salad with Miso Dressing,https://pinchofyum.com/spicy-shrimp-avocado-salad-miso-dressing,30 minutes,"['garlic', 'raw shrimp', 'butter', 'chili powder', 'cayenne', 'avocados', 'cucumber', 'spinach or baby kale', 'cilantro', 'peanuts', 'fried wonton strips', 'ginger', 'oil', 'lime juice', 'agave nectar', 'white miso', 'garlic', 'salt']"
Pinch of Yum,Crockpot Chicken Gnocchi Soup,https://pinchofyum.com/crockpot-chicken-gnocchi-soup,8 hours 10 minutes,"['boneless skinless chicken breasts', 'mirepoix', 'dried basil', 'italian seasoning', 'poultry seasoning', 'salt', 'chicken broth', 'cornstarch', 'evaporated milk', 'gnocchi', 'bacon', 'garlic', 'fresh baby spinach']"
Pinch of Yum,5 Ingredient Lemon Chicken with Asparagus,https://pinchofyum.com/5-ingredient-lemon-chicken-asparagus,20 minutes,"['boneless skinless chicken breasts', 'flour', 'salt and pepper', 'butter', 'lemon pepper seasoning', 'asparagus', 'lemons', 'honey', 'butter', 'parsley']"
Pinch of Yum,Rainbow Chicken Salad with Almond Honey Mustard Dressing,https://pinchofyum.com/rainbow-chicken-salad-almond-honey-mustard-dressing,45 minutes,"['olive oil', 'boneless, skinless chicken breasts', 'salt', 'pepper', 'chili powder', 'grapes', 'blueberries', 'curly lettuce', 'feta cheese', 'almonds', 'almond butter', 'olive oil', 'orange juice', 'water', 'stoneground mustard', 'raw honey', 'salt', 'garlic']"
